"average_points_per_game","average_assists_per_game","average_rebounds_per_game","average_blocks_per_game","average_steals_per_game","average_turnovers_per_game","percentage_of_field_goals_made","percentage_of_2_pointers_made","percentage_of_3_pointers_made","effective_field_goals_made","percentage_of_free_throws_made","games_played","games_started","average_no_of_minutes_played_per_game","age"
7.2887210216932,1.84932002924383,1.1694306763541,0.0375805040448903,0.545733951125294,0.645630297213793,0.376739870334882,0.404657667925023,0.16085353657417,0.386292458496056,0.999694961571787,30.9325383719057,0.511671617534012,17.0505433097854,27.513730309438
6.43783860287629,0.870172688132152,2.05224383478984,0.258615027265623,0.577016457645223,1.11352088346146,0.403375372760836,0.41345864993697,0.21121108488543,0.409475656864792,0.672049341796339,58.4987900671549,16.1639264714904,16.3319545135554,22.9774594239891
22.3122185261454,2.57104277008213,7.14104497820139,0.906362303132191,1.08635480777361,3.15391429081559,0.485026303550135,0.487826855448075,0.411828613026999,0.492603134700283,0.783821464608889,82.4944585654885,81.6058366059326,35.9554282258172,21.4149817965925
8.13538426562212,3.46148862707429,2.42000566206872,0.146973757185042,1.25893067887053,1.95571985867806,0.427982642741501,0.46948006712636,0.374670103051141,0.509725706552155,0.783719309887383,59.8997376859188,22.3082186499611,21.5918830782641,24.2426678591408
4.54661107049323,1.92997469710186,1.28388738192618,0.0834180506691337,0.722910052118823,1.29182467785664,0.413987112543639,0.493948774051573,0.312516575795691,0.482680266418587,0.675820685193595,37.4932341571897,3.39996734345332,13.4471510056313,24.401474402938
14.0034245705139,6.00479432031512,4.3565667860955,0.354216632684693,2.02986700029112,2.83810699027032,0.435565826133639,0.455362291260343,0.411414230477996,0.52497520222161,0.845947678529005,22.9070055017248,19.0435948198661,34.672610121239,23.5573153353296
19.5599887773301,4.33584007538855,4.94308905697428,0.0477041624858977,1.38149759513326,3.21348289156333,0.4279995572377,0.453275025570486,0.363911222761031,0.479124592102319,0.875455435365252,82.0062950118445,81.755507555604,40.0976261405274,22.5853679717518
11.678548963666,3.4272929631453,2.76046708522364,0.245818554898724,1.2745426516328,1.90054807694629,0.407676017851196,0.442315759312361,0.202269950791076,0.422131619646959,0.872707327578217,66.3444875456393,13.3061236893758,27.9323137790244,23.4561449673958
1.84503556243144,0.296291066240519,2.45817317015491,0.194249324398115,0.459428143510595,0.269881947515532,0.4437247841754,0.473716467075795,0.000564652081020145,0.443786067798547,0.390448136056401,50.2379639342427,0.258844141848385,8.03833750766702,32.502431459818
12.1614048660174,5.69151607708074,2.8133074829448,0.0091911173611879,1.40830689891241,2.35714923175052,0.397888516068552,0.410474394933321,0.356528468429577,0.440211019605212,0.789500758135691,60.8345421056263,56.4682252797298,30.4463820145465,27.0462716183625
12.551111222785,5.39581868698821,2.97224373391829,0.0587982484605161,1.3842524740193,2.52172785332426,0.386968815033976,0.39842767669186,0.352566546687391,0.43174831140032,0.77160798102757,45.5360785611905,40.140477060806,32.6424613973592,26.7668742788024
11.1410550379194,6.34179502730258,2.34885389928706,0.0258481299318372,1.55617777208798,1.79022937833332,0.435550665759388,0.450392503317352,0.370338331112359,0.468824105203431,0.837501229547616,16.2781158306636,16.4161999712698,24.1448266599514,27.1485681963153
15.2518086073827,2.14232170941308,5.04169871225953,0.406707968683913,1.22422696025111,1.48877841504291,0.455150890094135,0.492791344079189,0.359921390076075,0.50647046665037,0.637752860159706,57.9718177940697,43.4128876063973,29.282243292015,29.6714810474776
8.34505733523518,1.11274369861931,2.82932324742898,0.217718402575701,0.800328744305298,1.09758898517117,0.53844732164694,0.559670487189852,0.218505914424732,0.544624528483581,0.734551157144643,82.5611180957407,1.48255233950913,19.4702055145428,24.0622269736603
5.9125773114711,0.851300434498117,3.84038396983407,0.660596587862819,0.778306569671258,0.988596755033359,0.397744965084735,0.414334218061343,0.187900285520405,0.404640137782786,0.71648509631576,40.7314577804878,8.28764168955386,16.6278683951311,23.4969313632697
5.2346025590226,2.54970732058398,1.40792849808931,0.0553635143861173,0.824702669493854,1.08823368909769,0.430021938881651,0.442272015719861,0.415300349129736,0.524586452773027,0.662799336788524,80.3868450915441,0.299252397939563,12.7750185917132,29.686374734994
3.95665688315407,2.33671011115424,1.14763055188581,0.0122896690294146,0.347819041218609,0.603454922586679,0.493438816747442,0.538528585969098,0.257405497777648,0.514036461527739,0.839589203038998,65.4735900873318,0.31104035647586,12.6354358958825,29.9845637798309
4.32841147509403,1.51676995631307,1.80602558330633,0.0185347619187086,1.02154651333578,1.76053325948305,0.316114674492273,0.332655068250652,0.000230820945929723,0.316419912745617,0.714546199715137,3.91431166362017,0.160331021994352,14.8438820099086,29.5808197475038
3.92676628053188,2.29571787183173,1.07328246431425,0.0581862165033815,0.413194359662011,0.64895830001682,0.509650512277242,0.563141278890707,0.264429350544885,0.533853438823018,0.859842717513908,62.1561793058179,0.531589100975543,12.4613026132807,30.1839375310577
9.25249561511911,4.86952878231183,3.2726124094706,0.152403304101899,1.22002690010704,2.28241712578572,0.41072344415104,0.419403086357843,0.367856656001694,0.442435709817428,0.854098878015112,48.2578468624502,17.3989781349897,25.7843551929016,29.259148867894
2.41123791114427,0.60608112629503,2.21626175744459,0.337639143867418,0.580350273437798,0.640932959849015,0.320110223818477,0.374582526144292,0.284212295325566,0.406310630061198,0.632483207150176,45.7163402374834,11.4776786838658,14.755975200627,29.6888810162433
13.5198945372552,2.17065999887884,7.04716578669846,0.664226031983271,0.774245744198561,2.57743329343386,0.465427173280157,0.47007176947007,0.000397400941047796,0.46617431594329,0.669074576091114,77.924900505133,49.691945831757,29.0598156805057,28.3530012360774
